origin,dest,count
1,2,225.0
1,3,204.0
1,4,164.0
1,5,266.0
1,6,258.0
1,7,231.0
1,8,166.0
1,9,357.0
1,10,325.0
1,11,263.0
1,12,186.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,155.0
1,26,163.0
1,27,196.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
2,3,182.0
2,4,147.0
2,5,239.0
2,6,245.0
2,7,196.0
2,8,150.0
2,9,289.0
2,10,296.0
2,11,229.0
2,12,167.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,149.0
2,26,152.0
2,27,175.0
2,28,0.0
2,29,0.0
2,30,0.0
2,31,0.0
2,32,0.0
3,4,149.0
3,5,196.0
3,6,194.0
3,7,232.0
3,8,155.0
3,9,237.0
3,10,214.0
3,11,263.0
3,12,166.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,149.0
3,26,147.0
3,27,171.0
3,28,0.0
3,29,0.0
3,30,0.0
3,31,0.0
3,32,0.0
4,5,160.0
4,6,161.0
4,7,157.0
4,8,226.0
4,9,165.0
4,10,185.0
4,11,234.0
4,12,257.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,251.0
4,26,240.0
4,27,276.0
4,28,0.0
4,29,0.0
4,30,0.0
4,31,0.0
4,32,0.0
5,6,240.0
5,7,208.0
5,8,166.0
5,9,271.0
5,10,267.0
5,11,208.0
5,12,169.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,167.0
5,26,156.0
5,27,168.0
5,28,0.0
5,29,0.0
5,30,0.0
5,31,0.0
5,32,0.0
6,7,183.0
6,8,149.0
6,9,245.0
6,10,256.0
6,11,184.0
6,12,150.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
6,24,0.0
6,25,151.0
6,26,153.0
6,27,153.0
6,28,0.0
6,29,0.0
6,30,0.0
6,31,0.0
6,32,0.0
7,8,149.0
7,9,201.0
7,10,215.0
7,11,239.0
7,12,151.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.0
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
7,24,0.0
7,25,164.0
7,26,146.0
7,27,150.0
7,28,0.0
7,29,0.0
7,30,0.0
7,31,0.0
7,32,0.0
8,9,160.0
8,10,147.0
8,11,170.0
8,12,221.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
8,20,0.0
8,21,0.0
8,22,0.0
8,23,0.0
8,24,0.0
8,25,235.0
8,26,231.0
8,27,254.0
8,28,0.0
8,29,0.0
8,30,0.0
8,31,0.0
8,32,0.0
9,10,236.0
9,11,194.0
9,12,161.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
9,20,0.0
9,21,0.0
9,22,0.0
9,23,0.0
9,24,0.0
9,25,164.0
9,26,167.0
9,27,160.0
9,28,0.0
9,29,0.0
9,30,0.0
9,31,0.0
9,32,0.0
10,11,184.0
10,12,157.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
